symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
T,2016-12-31,False,FY,2016,10-K,163786000000.0,24347000000.0,12976000000.0,2.1,2.1,1.93,403821000000.0,38369000000.0,50576000000.0,5788000000.0,124110000000.0,39344000000.0,-24215000000.0,-14462000000.0
BMS,2016-12-31,False,FY,2016,10-K,4004400000.0,409300000.0,236200000.0,2.51,2.48,1.16,3715700000.0,1165500000.0,576100000.0,74200000.0,1259700000.0,437400000.0,-311200000.0,-110400000.0
BDC,2016-12-31,False,FY,2016,10-K,8125000.0,223853000.0,112575000.0,2.67,2.65,0.2,3806803000.0,1478952000.0,570279000.0,848116000.0,1461317000.0,314794000.0,-73257000.0,401704000.0
BC,2016-12-31,False,FY,2016,10-K,4488500000.0,409000000.0,276000000.0,3.03,3.0,0.615,3284700000.0,1688500000.0,964900000.0,422400000.0,1440100000.0,421900000.0,-484500000.0,-172400000.0
CAB,2016-12-31,False,FY,2016,10-K,4129359000.0,73494000.0,146947000.0,2.15,2.13,0.0,8970824000.0,7036578000.0,2689770000.0,23000000.0,2011599000.0,465400000.0,-828871000.0,311178000.0
CP,2016-12-31,False,FY,2016,10-K,6232000000.0,2578000000.0,1599000000.0,10.69,10.63,1.85,19221000000.0,1009000000.0,1347000000.0,164000000.0,4626000000.0,2089000000.0,-1069000000.0,-1493000000.0
CBS,2016-12-31,False,FY,2016,10-K,13166000000.0,2621000000.0,1261000000.0,2.84,2.81,0.66,24238000000.0,6063000000.0,3708000000.0,598000000.0,3689000000.0,1685000000.0,-340000000.0,-1046000000.0
CC,2016-12-31,False,FY,2016,10-K,5400000000.0,,7000000.0,0.04,0.04,0.12,6060000000.0,2553000000.0,1771000000.0,902000000.0,104000000.0,594000000.0,357000000.0,-396000000.0
CLD,2016-12-31,False,FY,2016,10-K,800438000.0,67268000.0,21841000.0,0.36,0.35,0.0,1714776000.0,225157000.0,129191000.0,83708000.0,951661000.0,48716000.0,-25323000.0,-28998000.0
CNNX,2016-12-31,False,FY,2016,10-K,239211000.0,,130122000.0,1.59,1.58,0.0,918557000.0,31036000.0,26296000.0,6421000.0,,160089000.0,-45328000.0,-108557000.0
ED,2016-12-31,False,FY,2016,10-K,12075000000.0,2575000000.0,1245000000.0,4.15,4.12,2.68,48255000000.0,3406000000.0,3843000000.0,776000000.0,14306000000.0,3459000000.0,-4976000000.0,1345000000.0
CPS,2016-12-31,False,FY,2016,10-K,0.0,244035000.0,138988000.0,7.96,7.42,0.0,2491702000.0,1296181000.0,759342000.0,480092000.0,721791000.0,363697000.0,-198266000.0,-62916000.0
CTB,2016-12-31,False,FY,2016,10-K,2924869000.0,384387000.0,248381000.0,4.56,4.51,0.42,2619395000.0,1420518000.0,500814000.0,504423000.0,1130236000.0,309795000.0,-181028000.0,-118323000.0
OFC,2016-12-31,False,FY,2016,10-K,574328000.0,52410000.0,-2875000.0,-0.03,-0.03,1.1,3780885000.0,,,209863000.0,1594664000.0,232538000.0,71449000.0,-154434000.0
CRY,2016-12-31,False,FY,2016,10-K,180380000.0,21820000.0,10570000.0,0.33,0.32,0.0,316140000.0,147233000.0,30102000.0,56642000.0,208983000.0,19719000.0,-73854000.0,73428000.0
CUBE,2016-12-31,False,FY,2016,10-K,510039000.0,142952000.0,79923000.0,0.45,0.45,0.9,3475028000.0,,,2973000.0,1661237000.0,263526000.0,-544471000.0,221049000.0
CYS,2016-12-31,False,FY,2016,10-K,,,-4421000.0,-0.04,-0.04,1.01,13245268000.0,,,1260000.0,1535719000.0,167867000.0,1398924000.0,-1575513000.0
DCT,2016-12-31,False,FY,2016,10-K,392776000.0,108098000.0,92391000.0,1.03,1.03,1.18,3808142000.0,,,10286000.0,1964787000.0,221302000.0,-312902000.0,59796000.0
DO,2016-12-31,False,FY,2016,10-K,1600342000.0,-356884000.0,-372503000.0,-2.72,-2.72,0.0,6371877000.0,505807000.0,340499000.0,156233000.0,3750134000.0,646554000.0,-426337000.0,-183012000.0
NYSEDEI,2016-12-31,False,FY,2016,10-K,742551000.0,220817000.0,85397000.0,0.569,0.554,0.89,7613705000.0,,,112927000.0,3014071000.0,339449000.0,-1366169000.0,1037849000.0
DRE,2016-12-31,False,FY,2016,10-K,902244000.0,476981000.0,312143000.0,0.89,0.88,0.73,6772002000.0,,,12639000.0,3493293000.0,450135000.0,24904000.0,-484933000.0
SRCE,2016-12-31,False,FY,2016,10-K,42772000.0,,57786000.0,2.22,2.22,0.72,5486268000.0,,,108304000.0,672650000.0,98060000.0,-309847000.0,240370000.0
EW,2016-12-31,False,FY,2016,10-K,2963700000.0,,569500000.0,2.67,2.61,0.0,4510000000.0,2240000000.0,532500000.0,930100000.0,2619000000.0,704400000.0,-211700000.0,-268500000.0
EEQ,2016-12-31,False,FY,2016,10-K,4481900000.0,,-120100000.0,-1.54,-1.54,0.0,800000.0,,,800000.0,800000.0,0.0,0.0,0.0
EEP,2016-12-31,False,FY,2016,10-K,4481900000.0,328100000.0,-162400000.0,-1.08,-1.08,0.0,18110100000.0,401200000.0,1102200000.0,108800000.0,,1415700000.0,-1066300000.0,-388700000.0
APC,2016-12-31,False,FY,2016,10-K,7869000000.0,-2599000000.0,-3078000000.0,-5.9,-5.9,0.2,45564000000.0,5266000000.0,3328000000.0,3184000000.0,15497000000.0,3000000000.0,-2762000000.0,2008000000.0
AGIO,2016-12-31,False,FY,2016,10-K,165846000.0,-200985000.0,-198471000.0,-5.07,-5.07,0.0,619094000.0,559892000.0,88433000.0,160754000.0,358591000.0,38562000.0,-119350000.0,169778000.0
ALXN,2016-12-31,False,FY,2016,10-K,3084000000.0,667000000.0,399000000.0,1.78,1.76,0.0,13253000000.0,2578000000.0,823000000.0,966000000.0,8694000000.0,1086000000.0,-287000000.0,-836000000.0
